"Borrower","How long do I have to reach my target fundraise amount?","You can set your funding period to any time between 10 to 45 days. This duration is decided before the launch of your fundraising offer.",,"Berapa lama Saya harus menunggu untuk mencapai target penggalangan dana?","Anda dapat menentukan masa penggalangan dana pinjaman antara 10 hari sampai dengan 45 hari. Durasi ini ditentukan sebelum penggalangan dana diterbitkan."
"Borrower","Will everyone be able to see the information posted on the website?","All approved and registered members on the platform will be able to view the published offer information on the Indonesian Platform while only accredited investors and institutional investors can view the offer information on Crowdo's International Platform.",,"Apakah semua orang dapat melihat informasi yang diterbitkan di website?","Semua anggota yang disetujui dan terdaftar di platform dapat melihat informasi pinjaman dan peminjam yang diterbitkan."
"Borrower","Is Crowdo going to do all or most of my Loan marketing for me?","No. As one of SE. Asia's longest running platforms, you will have the benefit of getting exposure to our existing community base. However, we do not act as promoters for individual Issuers.",,"Apakah Crowdo akan melakukan promosi pinjaman untuk Saya?","Tidak. Sebagai platform yang sudah berjalan lama di Asia Tenggara, Anda akan dipertemukan ke komunitas investor kami. Namun, kami tidak bertindak sebagai promotor untuk setiap peminjam."
"Borrower","Can I raise more than my Loan target amount?","You can set both a base target amount and maximum target amount. You will be eligible to access the funds once the base target has been achieved.",,"Dapatkah Saya menggalang dana melebihi jumlah target pinjaman?","Anda dapat menentukan besarnya target dasar dan maksimum target, dana hanya akan dicairkan jika target dasar tercapai."
"Borrower","How do I start?","To be approved as an Issuer on Crowdo, you will need to undergo a vetting process and also submit to us a set of business and financial information. To begin the application process, signup and login to the website and click on the ""Get a Loan"" link.",,"Bagaimana cara memulai?","Untuk disetujui sebagai peminjam di Crowdo Anda harus menjalani proses penyaringan dan juga menyerahkan informasi usaha. Untuk memulai, silahkan mendaftar dan login ke website lalu klik ""Get a Loan""."
"Borrower","If a Loan fundraising is successful, how do Borrowers receive their money?","If the fundraising offer is successful, the gross raised amount will be transferred to the bank account you have specified during the offer application process.",,"Jika penggalangan dana berhasil, bagaimana peminjam menerima uangnya?","Jika penggalangan dana berhasil, jumlah target pinjaman akan ditransfer ke rekening bank terdaftar yang sesuai pada proses pengajuan."
"Borrower","Can I ask for more than one Loan simultaneously?","Yes, you will be allowed to have more active offers if you have good repayment records of existing or past financing activities.",,"Apakah Saya dapat mengajukan lebih dari satu pinjaman secara bersamaan?","Tidak, setiap peminjam hanya diperbolehkan mengajukan satu pinjaman."
"Borrower","Can I invest in my own Loan?","No",,"Apakah Saya bisa investasi kepada pinjaman saya sendiri?","Tidak bisa"
"Borrower","I've found investments from another source. Can I add it to my total?","Yes, please notify the Crowdo Team and after we have seen the relevant evidence and documentation, we can add it to your total.",,"Saya telah menemukan investasi dari sumber lainnya. Apakah saya bisa menambahkan nya ke total hutang saya?","Ya, mohon untuk segera menghubungi tim Crowdo untuk dapat kami analisa kontrak nya dan bisa dihitung termasuk dengan total sebelumnya"
"Borrower","Is Crowdo involved throughout the fundraising period?","While Crowdo provides end-to-end support throughout the fundraising period, the Issuer is expected to take responsibility and leadership in promoting its fundraising in compliance with local regulations.",,"Apakah Crowdo terlibat dalam masa penggalangan dana ?","Selama masa penggalangan Dana, Crowdo akan menunjang fasilitas sistem nya, namun Peminjam diharapkan untuk melakukan inisiatif dalam promosi untuk penggalangan dana sesuai dengan peraturan yang ada."
"Borrower","What fees are charged to the Borrower?","Basic fees charged to an Issuer are processing fees and an administrative fee calculated based on the effort required to onboard and vet the financing application.",,"Biaya apa saja yang dibebankan kepada Peminjam?","Biaya dasar yang dibebankan kepada borrower adalah biaya pengolahan data dan biaya adiministrasi yang dihitung berdasarkan usaha yang dibutuhkan dan pemeriksaan pengajuan pinjaman."
"Borrower","How will Crowdo help me in my fundraising process?","Before the launch of your fundraising offer, Crowdo will assist you in preparing your offer fact sheet. After your fundraising offer has been published, Crowdo may choose to publish your fundraising offer on our newsletter to our membership base.",,"Bagaimana Crowo membantu saya dalam masa penggalangan dana?","Sebelum menerbitkan penawaran penggalangan dana, Crowdo akan membantu anda dalam mempersiapkan lembar fakta pinjaman anda. Setelah tawaran penggalangan dana Anda sudah terbit, Crowdo akan mengumumkan penggalangan dana pinjaman Anda lewat newsletter ke semua anggota kami."
"Borrower","What is Crowdo involvement after a successful fundraising?","Crowdo will provide infrastructure support to help collect the repayments from the Issuer and distribute it to the investors. The status of the repayment process will be updated and visible on the website.",,"Apa keterlibatan Crowdo setelah penggalangan dana berhasil?","Crowdo akan memfasilitasi sarana dalam membantu mengumpulkan pengembalian dari Peminjam dan mengirimkan kembali kepada investor. Status pengembalian dana akan selalu diperbarui dan terlihat di website."
"Borrower","What is the tax implication for Indonesian-based Borrowers ?","(Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.)
 
For Indonesia: If the Issuer borrows from Indonesia Resident Investors there is no applicable tax arising specifically from the loan as long as it is recognized as an expense and the money are loaned by Indonesia Resident Investors. However, if the borrower defaults on their loan, they will be required to recognize the loan as income on their tax reporting.
 If the Borrower borrows from Non Indonesia Resident Investors, the interest payments from borrower to Non Indonesian Resident investors would be deemed as income originated in Indonesia and subject to withholding tax of 20% (domestic) or 10% under most of Indonesia's DTAs. The liability to withhold rests with the borrower. 

",,"Apakah ada implikasi pajak terhadap Peminjam?","(Catatan: Dibawah ini bukan merupakan, atau bisa dijadikan landasan untuk petunjuk pajak atau investasi. Investor harus berkonsultasi terhadap penasihat pajak pribadi untuk memahami tentang implikasi pajak yang berhubungan dengan situasi pribadi saat ini)
 
 Untuk Peminjam asal Indonesia:
 Jika Peminjam meminjam dari Investor yang merupakan penduduk Indonesia, tidak akan ada pajak muncul dari pinjaman tersebut selama itu dihitung sebagai pengeluaran dan uang nya dipinjamkan oleh investor penduduk Indonesia. Namun, apabila terjadi kegagalan dalam pembayaran pinjaman, mereka diwajibkan untuk mencatat pinjaman tersebut sebagai pendapatan dalam pencatatan pajak mereka.
 
 Jika Peminjam meminjam dari investor asing, pajak pembayaran pinjaman terhadap investor asing akan dianggap sebagai pemasukan yang berasal dari Indonesia dengan pemotongan pajak sebesar 20% (domestik) atau 10% dibawah DTA Indonesia. Kewajiban untuk menahan tersebut diserahkan kepada Peminjam. 
 Jika Peminjam berasal dari Singapore:
 Jika peminjam meminjam dari investor penduduk Singapore, tidak akan ada pajak khusus dari pinjaman tersebut selama pinjaman tersebut dihitung sebagai pengeluaran dan uang yang dipinjamkan berasal dari Investor asli Singapore."
"Borrower","What is the tax implication for Singapore-based Borrowers ?","For Singapore-based Issuers:  If the Issuer raises financing from Singapore Resident Investors there is no applicable tax arising specifically from the offer as long as it is recognized as an expense and the money are invested by Singapore Resident Investors.  If the Issuers raises financing from Non Singapore Resident Investors, the interest payments from both Issue to the Non Singapore Resident investors would be deemed as income originated in Singapore and subject to withholding tax of 15%. The liability to withhold rests with the Issuer. ",,,
,"Investor",,,"Investor",
"Investor","Who can become an Investor?","By submitting required information via Crowdo's website, everyone can become a Crowdo Indonesian Platform Investor while only Accredited Investors (AI) or Institutional Investors (II) can become a Crowdo International Platform Investor. To begin the application process, signup and login to the website and click on the ""Become Investor"" link. Once your application has been approved you will become an Investor Member and be able to make investments. To declare yourself to be AI and II, please click on ""Accreditation"".",,"Siapa yang bisa menjadi Investor?","Dengan menyerahkan informasi yang dibutuhkan melalui website Crowdo, semuanya dapat menjadi Investor di website Crowdo Indonesia sementara hanya Investor terakreditasi (AI) atau Institusi Investor (II) dapat menjadi Investor Internasional Crowdo. Untuk memulai proses pengajuan, daftar dan masuk ke website lalu klik Link ""Menjadi Investor"". Setelah proses permohonan diterima, Anda akan menjadi Investor dan Anda dapat memberikan investasi. Untuk menyatakan bahwa anda adalah AI dan II< mohon klik ""Akreditasi""."
"Investor","What is a Accredited Investor (AI)?","1) An Individual whose
- Net personal assets exceed S$2 million (or its equivalent in foreign currency); Or
- Personal income in the preceding 12 months is not less than S$300,000 (or its equivalent in foreign currency). 
 
 2) Entity ( Corporations or others) with net assets exceeding S$10 million in value (or its equivalent in a foreign currency).",,"Siapa saja yang dapat dikategorikan sebagai investor yang memenuhi syarat?","1) Perorangan, yang memiliki : - Aset pribadi bersih >S$2 juta (atau setara dengan mata uang lainnya), akan tetapi nilai ekuitas bersih dari kediaman utama mencakup S$1 juta (atau setara dengan mata uang lainnya) - Nilai aset keuangan bersih > S$1 juta (atau setara dengan mata uang lainnya) - Pendapatan tahunan > S$ 300,000 2) Entitas (Perusahaan atau lainnya) - Nilai aset bersih > S$ 10 juta (atau setara) 3) Perwakilan dari yayasan - Nilai kekayaan yayasan > S$10 juta"
"Investor","What is a Institutional Investor (II)?","IIs refer to an institutional investor as defined in Section 4A of the Securities and Futures Act, Cap 289 of Singapore.  ",,"Apakah yang dimaksud investor kelembagaan (II)?","II Investor kelembagaan mengacu pada : 1) MAS - Lembaga Keuangan yang Diizinkan 2) Dana - Dana (Dana Pensiun, Reksadana, Pencadangan Mata Uang Asing) 3) RFMC (melayani </= 30 investor yang memenuhi syarat) 4) Pemerintah dan Undang - Undang yang telah ditentukan 5) Organisasi pemerintahan yang melampaui batas negara"
"Investor","Why should I invest?","There are a number of reasons you may want to invest in a P2P Loan: 
 
 1) To diversify your investment portfolio with an investment product (SMEs Loan) currently not widely available via traditional investment channels 
 
 2) To generate an additional source of income via a fixed income investment; 
 
 3) To help SMEs to grow their business and build a stronger economy; 
 
 Investors should implement a diversification strategy when building an investment portfolio. Diversification involves spreading your money across multiple investments in order to have investments that will sustain in adverse market conditions and mitigate losses. However, it will not lessen all types of risk.",,"Mengapa saya harus melakukan investasi?","Terdapat beberapa alasan yang mungkin membuat anda ingin berinvestasi dalam Pinjaman P2P : 1) Untuk memberikan perbedaan antara portofolio investasi anda dengan produk investasi (pinjaman untuk UKM) yang saat ini belum tersedia secara luas melalui alur investasi tradisional 2) Untuk menghasilkan sumber pendapatan tambahan melalui investasi dengan penerimaan tetap 3) Untuk membantu sektor UKM mengembangkan bisnis mereka dan membangun ekonomi yang lebih kokoh Investor seharusnya menerapkan strategi diversifikasi ketika menyusun portofolio investasi mereka. Diversifikasi melibatkan penyebaran uang anda ke beberapa investasi agar dapat memperoleh investasi yang bertahan di samping kondisi pasar dan meminimalisir kerugian. Namun, hal ni tidak akan selalu mengurangi segala jenis resiko yang ada."
"Investor","What are the risks of Investing?","The investor has to bear the risk that the Issuer may not repay their debt. There are several factors used by investors to assess the risk of an investment such as: Issuer's past repayment history, Issuer's financial situation and assets pledged as collateral to the debt financing. In general, risker investments are expected to give higher return to investors to compensate for the risk taken. Besides, investors may bear currency risk.",,"Apa saja resiko dalam melakukan investasi?","Seorang investor harus siap menanggung resiko apabila peminjam tidak dapat membayar kembali pinjaman mereka. Terdapat beberapa faktor yang dapat digunakan oleh investor untuk menilai risiko investasi dalam pinjaman seperti : riwayat pembayaran kembali peminjam sebelumnya, kondisi keuangan peminjam dan aset yang dijanjikan sebagai jaminan untuk suatu pinjaman. Umumnya, investasi yang berisiko diharapkan dapat memberikan tingkat pengembalian yang lebih tinggi kepada investor untuk mengimbangi risiko yang diambil. Selain itu, investor mungkin harus menanggung risiko mata uang asing."
"Investor","How much can I invest?","There is no limit to the investment amount, and an Investor Member can diversify their investment across a portfolio of offers. However, an Investor should only invest the amount that they are comfortable with.",,"Seberapa banyak saya dapat melakukan investasi?","Tidak ada batasan dalam nominal untuk melakukan investasi, dan anggota yang sudah terdaftar sebagai investor seharusnya hanya melakukan investasi dengan nominal yang nyaman menurut mereka."
"Investor","Why do I need to Bid for a loan?","Each offer has a fundraising period during which investors can pledge online investments. A fundraising offer is successful only if the Base Target Amount has been committed before the end of the funding period. Therefore, investments pledged during the fundraising period before the Base Target Amount has been committed will be in Bid state. These 'Bids' will be confirmed once the Base Target Amount is achieved.",,"Mengapa saya perlu melakukan penawaran untuk suatu pinjaman?","Masing - masing pinjaman memiliki periode penggalangan dana selama investor mana yang dapat menjanjikan investasi secara online kepada pinjaman tersebut. Kampanye penggalangan dana untuk pinjaman akan sukses jika total nominal pinjaman yang ditargetkan telah terpenuhi sebelum akhir periode pendanaan. Oleh karena itu, jaminan investasi selama periode penggalangan dana sebelum total nominal pinjaman yang ditargetkan terpenuhi akan dicatat dalam bagian penawaran. Penawaran investasi akan dikonfirmasi setelah total nominal yang ditargetkan tertutupi."
"Investor","Who does the vetting of Borrowers?","Crowdo. We have a number of measures in place to evaluate the Issuer's submission, including conducting upfront checks, holding entrepreneurs and businesses accountable for the information they have provided us, and, if necessary taking legal action against the entrepreneurs and businesses for non-compliance.",,"Siapa yang melakukan proses pemeriksaan terhadap pihak peminjam?","Kami. Kita memiliki beberapa langkah - langkah untuk melakukan evaluasi dalam pengajuan pinjaman oleh peminjam, termasuk melakukan pemeriksaan dimuka, memegang tanggung jawab wirausaha dan pengusaha terhadap informasi yang telah mereka berikan ke kita, dan, mengambil tindakan hukum terhadap wirausaha dan pengusaha atas ketidakpatuhan mereka jika diperlukan."
"Investor","What do I get in exchange for my investment?","As you are investing in a offer you should expect to receive in return the amount you invested (principle) plus an interest amount (interest return). Principle + interest return are repaid according to a pre-agreed repayment schedule.",,"Apa yang akan saya dapat atas investasi yang telah dilakukan?","Dikarenakan Anda melakukan investasi terhadap suatu pinjaman, Anda akan memperoleh pengembalian atas nilai yang anda investasikan (Nilai dasar) ditambah dengan nilai bunga (tingkat pengembalian bunga). Nilai dasar + tingkat pengembalian bunga akan dibayarkan berdasarkan jadwal pembayaran kembali yang telah disepakati"
"Investor","What is the interest returned on my investment?","Each offer published on the P2P platform clearly states the interest rate to be returned to investors. The exact repayment schedule is also displayed in the fact sheet. If you bid an amount lower than the principle, the repayment you are entitled to will be prorated according to your investment amount and visible in your online portfolio (My Portfolio page)",,"Apakah yang dimaksud dengan tingkat pengembalian bunga dalam investasi Saya?","Masing - masing pinjaman di platform P2P dengan jelas menyatakan bahwa suku bunga akan dikembalikan ke investor. Jadwal pembayaran kembali yang tepat juga ditampilkan di dalam lembar fakta pinjaman. Jika anda melakukan penawaran dengan nominal dibawah nilai dasar, tingkat pengembalian yang berhak didapat akan dihitung pro rata berdasarkan nilai yang anda investasikan dan telihat dalam portofolio online anda (Halaman Portofolio Saya)"
"Investor","I was notified that the Fundraising offer I invested in is unsuccessful, what happens now?","The amount you bid on that fundraising offer will be refunded to your online account.",,"Saya mendapat notifikasi bahwa kampanye penggalangan dana yang Saya investasikan tidak berhasil, apa yang akan terjadi sekarang?","Nominal penawaran yang Anda masukkan ke dalam kampanye penggalangan dana tersebut akan dikembalikan ke akun online anda"
"Investor","Are my investments made public?","No.",,"Apakah informasi investasi Saya di publikasikan?","Tidak"
"Investor","Does the Borrower receive my Investment right away?","No. The investment amount you bid to a offer will be secured in your online account until the offer is successful. Only in cases where the fundraising reaches its base target amount prior to the expiry date of the fundraising period, the funds be transferred to the Issuer. If the Offer fails to reach its target, then the funds will be returned to the participating Investors. ",,"Apakah Peminjam langsung mendapatkan investasi dari Saya?","Tidak. Jumlah investasi yang Anda tawarkan ke suatu pinjaman akan diamankan ke dalam rekening virtual Anda sampai dengan masa partisipasi berakhir. Hanya pada kondisi tertentu dimana dana pinjaman yang dibutuhkan telah terpenuhi sebelum masa partisipasi berakhir, dana akan di cairkan kepada peminjam. Apabila kebutuhan dana tidak terpenuhi dalam masa partisipasi, maka dana akan dikembalikan kepada investor. Selain itu, kami memberikan waktu tenang (masa pra perjanjian) untuk investor apabila ingin membatalkan investasinya."
"Investor","Can the Borrower reject your funds?","No.",,"Apakah Peminjam dapat menolak dana pinjaman ?","Tidak"
"Investor","Is my investment guaranteed?","No. Despite some debt notes being personal/ corporate guaranteed, it does not mean your investment will definitively be returned. You should notice that your investment will have risks. However, you will be able to invest in offers with different risk profiles. For example you will be able to find offers with collateral which are generally considered less risky than uncollateralized loans.",,"Apakah Investasi Saya dijamin?","Tidak. Meskipun suatu pinjaman mempunyai Jaminan Perorangan / Perusahaan tidak berarti investasi Anda dijamin. Anda diharapkan menyadari bahwa investasi Anda memiliki resiko. Namun demikian, Anda dapat berinvestasi pada pinjaman dengan profil resiko yang bervariasi. Contoh: Anda dapat menemukan pinjaman dengan jaminan yang secara umum dikategorikan beresiko rendah dibandingkan dengan pinjaman tanpa jaminan."
