General,Does Crowdo advise as to where to invest?,"No. Crowdo is not authorized to provide financial advice. While we confirm and approve all the information provided in each Loan, we do not make our own judgment about whether it's a good investment opportunity or not. We believe that a large number of diverse investors are better suited to assess the business's prospects than a few professional managers (Crowd Validation).",,Apakah Crowdo menganjurkan untuk berinvestasi kemana?,"Tidak. Crowdo tidak berwenang untuk memberikan nasihat keuangan. Sementara kami mengkonfirmasi dan menyetujui semua informasi yang tersedia di setiap Loan, kami tidak membuat penilaian sendiri tentang apakah pinjaman tersebut merupakan peluang investasi yang baik atau tidak. Kami percaya bahwa besarnya jumlah investor yang beragam lebih cocok untuk menilai prospek bisnis daripada beberapa manajer profesional (Validasi Crowd)."
General,Is Crowdo a fund?,"No. When investors invest in a Loan through Crowdo, they invest solely in the Loans that they've chosen. However, we occasionally make Loans available for individual investment funds looking to invest in a pool of to-be-selected businesses Loans.",,Apakah Crowdo memberikan dana?,"Tidak. Ketika investor berinvestasi di pinjaman Crowdo mereka hanya berinvestasi di Pinjaman yang mereka pilih. Namun, terkadang kami menyediakan pinjaman untuk dana investasi perorangan yang ingin berinvestasi di kumpulan pinjaman bisnis yang akan dipilih."
General,Is Crowdo authorised and regulated to operate in Indonesia?,Yes. Crowdo has received legal opinion that the current business model is compliant with current regulations within its respective jurisdictions.,,Apakah Crowdo resmi dan sudah diregulasi untuk beroperasi di Indonesia?,Ya. Crowdo telah menerima pendapat hukum bahwa model bisnis saat ini telah mematuhi peraturan yang berlaku dalam yurisdiksi masing-masing.
General,Is Crowdo authorised and regulated to operate in Singapore?,Yes. Crowdo is a Capital Market Service License holder approved by the Monetary Authority of Singapore.,,Apakah Crowdo resmi dan sudah diregulasi untuk beroperasi di Singapura?,Ya. Crowdo telah memegang Lisensi Layanan Pasar Modal disetujui oleh Otoritas Moneter Singapura.
General,What is the difference between Crowdo International Platform and Crowdo Indonesian Platform?,"From the Investors' perspective, Crowdo International Platform currently is only open to Accredited Investors (link to explanation) and Institutional Investors (link to explanation). Crowdo's Indonesian Platform is available for everyone.

In terms of Borrowers, Crowdo International Platform is available for SMEs worldwide while Crowdo Indonesian Platform is only for Indonesian SMEs and Citizens.",,Apa perbedaan antara Platform Crowdo Internasional dan Platform Crowdo Indonesia ?,"Dari sudut pandang investor, platform Crowdo Internasional saat ini hanya terbuka untuk investor Terakreditasi (link to explanation) dan Investor Institusional (link to explanation). Platform Crowdo Indonesia ini tersedia untuk semua orang.
 Untuk Peminjam, platform Crowdo Internasional tersedia untuk UKM dari seluruh dunia, sedangkan Platform Crowdo Indonesia diperuntukkan bagi UKM dan Warga Negara Indonesia."
,,,,,
,Borrower,,,Peminjam,
Borrower,Who is eligible to raise funds on Crowdo's Peer to Peer lending platform?,"For Crowdo Indonesian Platform, all businesses incorporated in Indonesia and every Indonesian citizen is eligible to raise funding.

For Crowdo International Platform, every business is eligible to raise funding as long as it is not a publicly traded/listed company.",,Siapa yang dapat mengumpulkan dana di platform pinjaman Peer to Peer Crowdo ?,"Untuk platform Crowdo Indonesia, semua bisnis yang didirikan di Indonesia dan setiap warga negara Indonesia berhak untuk mengumpulkan pendanaan.
 Untuk platform Crowdo Internasional, setiap bisnis yang memenuhi syarat untuk meningkatkan pendanaan selama itu bukan perusahaan yang diperdagangkan/terbuka di publik."
Borrower,How much money can I raise through Crowdo's Peer to Peer lending platform?,"The limit for fundraising in Crowdo International Platform is 5mm SGD for a 12 month span. For Indonesia, a Borrower may raise up to 2bn IDR.",,Berapa banyak dana yang dapat Saya kumpulkan melalui Platform pinjaman Peer to Peer Crowdo?,"Batas untuk penggalangan dana di Platform Crowdo Internasional adalah SGD 5 juta untuk rentang 12 bulan. Untuk Indonesia, Peminjam bisa mengumpulkan hingga 2 milyar rupiah."
Borrower,"If I submit a Loan application, is it published right away on Crowdo's Peer to Peer lending website?",No. Each submitted Loan will need to be vetted by the Crowdo team before being published on the website.,,"Jika Saya mengajukan permohonan pinjaman, apakah akan diterbitkan langsung di website Crowdo?",Tidak. Setiap Pinjaman yang diajukan harus diperiksa oleh tim Crowdo sebelum dipublikasikan di website.
Borrower,What do I give Investors in exchange for their investment(s)?,"If the Loan fundraising is successful and you manage to raise your loan target amount (principle), you are expected to repay to the investors the loan principle amount + interest, according to the pre-agreed repayment schedule and interest rate.",,Apa yang Saya berikan kepada investor sebagai ganti investasi yang mereka lakukan?,"Jika penggalangan dana Pinjaman berhasil dan pokok pinjaman Anda telah terkumpul, Anda diharapkan untuk membayar kepada investor sejumlah pokok pinjaman + bunga, sesuai dengan jadwal pembayaran dan tingkat bunga yang telah disepakati."
Borrower,Can I raise funds as a equity investment?,"Yes, to see more information about Equity Crowdfunding, please visit investment.crowdo.com.",,Apakah saya dapat menggalang dana pada platform equity investment?,"Ya, untuk informasi lebih lanjut mengenai Equity Crowdfunding, silahkan kunjungi investment.crowdo.com"
Borrower,Am I able to get the investments as soon as they are committed by the Investors?,"No. Before each Loan is published, the Borrower is required to set the duration of the Loan fundraising period. You are only allowed to access Investor funds if you achieve your Loan target amount in Investor commitments before the expiry of your fundraising period. If you do not achieve your Loan target amount, the funds are returned to the Investors.",,Apakah saya akan menerima pencairan dana langsung setelah investor berkomitmen atas pendanaan mereka?,"Tidak, Sebelum pinjaman diterbitkan, Peminjam diharuskan mengatur durasi periode pinjaman. Anda hanya diperbolehkan mengakses dana Investor jika Anda mencapai jumlah target pinjaman Anda sebelum berakhirnya periode penggalangan dana Anda. Jika Anda tidak mencapai jumlah target pinjaman Anda, dana dikembalikan ke Investor."
Borrower,How long do I have to reach my target fundraise amount?,You can set your Loan funding period between 10 days to 45 days. This duration is decided before the launch of your Loan fundraising campaign.,,Berapa lama Saya harus menunggu untuk mencapai target penggalangan dana?,Anda dapat menentukan masa penggalangan dana pinjaman antara 10 hari sampai dengan 45 hari. Durasi ini ditentukan sebelum penggalangan dana diterbitkan.
Borrower,Will everyone be able to see the information posted on the website?,All approved and registered members on the platform will be able to view the published Borrower and Loan information.,,Apakah semua orang dapat melihat informasi yang diterbitkan di website?,Semua anggota yang disetujui dan terdaftar di platform dapat melihat informasi pinjaman dan peminjam yang diterbitkan.
Borrower,Is Crowdo going to do all or most of my Loan marketing for me?,"No. As one of SE. Asia's longest running platforms, you will have the benefit of getting exposure to our existing community base. However, we do not act as promoters for individual Borrowers.",,Apakah Crowdo akan melakukan promosi pinjaman untuk Saya?,"Tidak. Sebagai platform yang sudah berjalan lama di Asia Tenggara, Anda akan dipertemukan ke komunitas investor kami. Namun, kami tidak bertindak sebagai promotor untuk setiap peminjam."
Borrower,Can I raise more than my Loan target amount?,You can set both a base target amount and maximum target amount. You will be eligible to access the funds once the base target has been achieved.,,Dapatkah Saya menggalang dana melebihi jumlah target pinjaman?,"Anda dapat menentukan besarnya target dasar dan maksimum target, dana hanya akan dicairkan jika target dasar tercapai."
Borrower,How do I start?,"To be approved as a Borrower on Crowdo, you will need to undergo a vetting process and also submit to us a set of business and loan information. To begin the application process, signup and login to the website and click on the ""Get a Loan"" link.",,Bagaimana cara memulai?,"Untuk disetujui sebagai peminjam di Crowdo Anda harus menjalani proses penyaringan dan juga menyerahkan informasi usaha. Untuk memulai, silahkan mendaftar dan login ke website lalu klik ""Get a Loan""."
Borrower,"If a Loan fundraising is successful, how do Borrowers receive their money?","If the Loan fundraising campaign is successful, the Loan target amount will be transferred to the bank account provided by you during the Loan application process.",,"Jika penggalangan dana berhasil, bagaimana peminjam menerima uangnya?","Jika penggalangan dana berhasil, jumlah target pinjaman akan ditransfer ke rekening bank terdaftar yang sesuai pada proses pengajuan."
Borrower,Can I ask for more than one Loan simultaneously?,"No, each Borrower may only have one active Loan at any point of time.",,Apakah Saya dapat mengajukan lebih dari satu pinjaman secara bersamaan?,"Tidak, setiap peminjam hanya diperbolehkan mengajukan satu pinjaman."
Borrower,Can I invest in my own Loan?,No,,Apakah Saya bisa investasi kepada pinjaman saya sendiri?,Tidak bisa
Borrower,I've found investments from another source. Can I add it to my total?,"Yes, please notify the Crowdo Team and after we have seen the relevant paperwork, we can add it to your total.",,Saya telah menemukan investasi dari sumber lainnya. Apakah saya bisa menambahkan nya ke total hutang saya?,"Ya, mohon untuk segera menghubungi tim Crowdo untuk dapat kami analisa kontrak nya dan bisa dihitung termasuk dengan total sebelumnya"
Borrower,Is Crowdo involved throughout the fundraising period?,"While Crowdo provides end-to-end support throughout the fundraising period, the Borrower is expected to take responsibility and leadership in promoting its fundraising in compliance with local regulations.",,Apakah Crowdo terlibat dalam masa penggalangan dana ?,"Selama masa penggalangan Dana, Crowdo akan menunjang fasilitas sistem nya, namun Peminjam diharapkan untuk melakukan inisiatif dalam promosi untuk penggalangan dana sesuai dengan peraturan yang ada."
Borrower,What fees are charged to the Borrower?,Basic fees charged to a Borrower are processing fees and an administrative fee calculated based on the effort required to onboard and vet the loan application.,,Biaya apa saja yang dibebankan kepada Peminjam?,Biaya dasar yang dibebankan kepada borrower adalah biaya pengolahan data dan biaya adiministrasi yang dihitung berdasarkan usaha yang dibutuhkan dan pemeriksaan pengajuan pinjaman.
Borrower,How will Crowdo help me in my fundraising process?,"Before the launch of your Loan fundraising offer, Crowdo will assist you in preparing your Loan fact-sheet. After your fundraising offer has been published, Crowdo may choose to publish your Loan fundraising offer on our newsletter to our membership base.",,Bagaimana Crowo membantu saya dalam masa penggalangan dana?,"Sebelum menerbitkan penawaran penggalangan dana, Crowdo akan membantu anda dalam mempersiapkan lembar fakta pinjaman anda. Setelah tawaran penggalangan dana Anda sudah terbit, Crowdo akan mengumumkan penggalangan dana pinjaman Anda lewat newsletter ke semua anggota kami."
Borrower,What is Crowdo involvement after a successful fundraising?,Crowdo will provide infrastructure support to help collect the repayments from the Borrower and distribute it to the Investors. The status of the repayment process will be updated and visible on the website.,,Apa keterlibatan Crowdo setelah penggalangan dana berhasil?,Crowdo akan memfasilitasi sarana dalam membantu mengumpulkan pengembalian dari Peminjam dan mengirimkan kembali kepada investor. Status pengembalian dana akan selalu diperbarui dan terlihat di website.
Borrower,What is the tax implication for Borrowers?,"Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.
 
For Indonesian-based Borrower:
If Borrower borrows from Indonesia Resident Investors there is no applicable tax arising specifically from the loan as long as it is recognized as an expense and the money are loaned by Indonesia Resident Investors. However, if the borrower defaults on their loan, they will be required to recognize the loan as income on their tax reporting.
If Borrower borrows from Non Indonesia Resident Investors, the interest payments from borrower to Non Indonesian Resident investors would be deemed as income originated in Indonesia and subject to withholding tax of 20% (domestic) or 10% under most of Indonesia's DTAs. The liability to withhold rests with borrower. 
 
For Singapore-based Borrower:
If Borrower borrows from Singapore Resident Investors there is no applicable tax arising specifically from the loan as long as it is recognized as an expense and the money are loaned by Singapore Resident Investors. 
If Borrower borrows from Non Singapore Resident Investors, the interest payments from Borrower to Non Singapore Resident investors would be deemed as income originated in Singapore and subject to withholding tax of 15%. The liability to withhold rests with Borrower.",,Apakah ada implikasi pajak terhadap Peminjam?,"(Catatan: Dibawah ini bukan merupakan, atau bisa dijadikan landasan untuk petunjuk pajak atau investasi. Investor harus berkonsultasi terhadap penasihat pajak pribadi untuk memahami tentang implikasi pajak yang berhubungan dengan situasi pribadi saat ini)
 
 Untuk Peminjam asal Indonesia:
 Jika Peminjam meminjam dari Investor yang merupakan penduduk Indonesia, tidak akan ada pajak muncul dari pinjaman tersebut selama itu dihitung sebagai pengeluaran dan uang nya dipinjamkan oleh investor penduduk Indonesia. Namun, apabila terjadi kegagalan dalam pembayaran pinjaman, mereka diwajibkan untuk mencatat pinjaman tersebut sebagai pendapatan dalam pencatatan pajak mereka.
 
 Jika Peminjam meminjam dari investor asing, pajak pembayaran pinjaman terhadap investor asing akan dianggap sebagai pemasukan yang berasal dari Indonesia dengan pemotongan pajak sebesar 20% (domestik) atau 10% dibawah DTA Indonesia. Kewajiban untuk menahan tersebut diserahkan kepada Peminjam. 
 Jika Peminjam berasal dari Singapore:
 Jika peminjam meminjam dari investor penduduk Singapore, tidak akan ada pajak khusus dari pinjaman tersebut selama pinjaman tersebut dihitung sebagai pengeluaran dan uang yang dipinjamkan berasal dari Investor asli Singapore."
,,,,,
,Investor,,,Investor,
Investor,Who can become an Investor?,"By submitting required information via Crowdo website, everyone can become a Crowdo Indonesian Platform Investor while only Accredited Investor (AI) or Institutional Investor (II) can become a Crowdo International Platform Investor. To begin the application process, signup and login to the website and click on the ""Become Investor"" link. Once your application has been approved, you will be a Qualified Investor and you will be able to start making investment. To declare yourself to be an AI or II, please click on ""Accredidation"".",,Siapa yang bisa menjadi Investor?,"Dengan menyerahkan informasi yang dibutuhkan melalui website Crowdo, semuanya dapat menjadi Investor di website Crowdo Indonesia sementara hanya Investor terakreditasi (AI) atau Institusi Investor (II) dapat menjadi Investor Internasional Crowdo. Untuk memulai proses pengajuan, daftar dan masuk ke website lalu klik Link ""Menjadi Investor"". Setelah proses permohonan diterima, Anda akan menjadi Investor dan Anda dapat memberikan investasi. Untuk menyatakan bahwa anda adalah AI dan II< mohon klik ""Akreditasi""."
Investor,What is a Qualified Investor?,"1) Individuals, who has
- Net personal assets > S$2mm (or equivalent other currency), but net equity of primary residence capped at S$1 million ( or equivalent other currency); or
- Net financial assets > S$1mm (or equivalent other currency); or
- Annual Income > S$300,000
2) Entity ( Corporations or others)
- Net assets > S$10mm (or equivalent)
3) Trustees of a trust
- Trust Property > S$10mm",,Siapa saja yang dapat dikategorikan sebagai investor yang memenuhi syarat?,"1) Perorangan, yang memiliki : - Aset pribadi bersih >S$2 juta (atau setara dengan mata uang lainnya), akan tetapi nilai ekuitas bersih dari kediaman utama mencakup S$1 juta (atau setara dengan mata uang lainnya) - Nilai aset keuangan bersih > S$1 juta (atau setara dengan mata uang lainnya) - Pendapatan tahunan > S$ 300,000 2) Entitas (Perusahaan atau lainnya) - Nilai aset bersih > S$ 10 juta (atau setara) 3) Perwakilan dari yayasan - Nilai kekayaan yayasan > S$10 juta"
Investor,What is an Institutional Investor (II)?,"II refers to 
 1) MAS - Licensed Financial Institutions
 2) Funds (Pension Funds, CIS, Sovereign Wealth Funds)
 3) RFMC (Serving </= 30 qualified investors)
 4) The Government and Specified Statutory Boards
 5) Supranational governmental organisations",,Apakah yang dimaksud investor kelembagaan (II)?,"II Investor kelembagaan mengacu pada : 1) MAS - Lembaga Keuangan yang Diizinkan 2) Dana - Dana (Dana Pensiun, Reksadana, Pencadangan Mata Uang Asing) 3) RFMC (melayani </= 30 investor yang memenuhi syarat) 4) Pemerintah dan Undang - Undang yang telah ditentukan 5) Organisasi pemerintahan yang melampaui batas negara"
Investor,Why should I invest?,"There are a number of reasons you may want to invest in a P2P Loan: 
1) To diversify your investment portfolio with an investment product (SMEs Loan) currently not widely available via traditional investment channels;
2) To generate an additional source of income via a fixed income investment; 
3) To help SMEs to grow their business and build a stronger economy
Investors should implement a diversification strategy when building an investment portfolio. Diversification involves spreading your money across multiple investments in order to have investments that will sustain in adverse market conditions and mitigate losses. However, it will not lessen all types of risk.",,Mengapa saya harus melakukan investasi?,"Terdapat beberapa alasan yang mungkin membuat anda ingin berinvestasi dalam Pinjaman P2P : 1) Untuk memberikan perbedaan antara portofolio investasi anda dengan produk investasi (pinjaman untuk UKM) yang saat ini belum tersedia secara luas melalui alur investasi tradisional 2) Untuk menghasilkan sumber pendapatan tambahan melalui investasi dengan penerimaan tetap 3) Untuk membantu sektor UKM mengembangkan bisnis mereka dan membangun ekonomi yang lebih kokoh Investor seharusnya menerapkan strategi diversifikasi ketika menyusun portofolio investasi mereka. Diversifikasi melibatkan penyebaran uang anda ke beberapa investasi agar dapat memperoleh investasi yang bertahan di samping kondisi pasar dan meminimalisir kerugian. Namun, hal ni tidak akan selalu mengurangi segala jenis resiko yang ada."
Investor,What are the risks of investing?,"The Investor has to bear the risk that the Borrower may not repay a loan. There are several factors used by Investors to assess the risk of a loan investment such as: Borrower's past repayment history, Borrower's financial situation and assets pledged as collateral to a loan. In general, risker investments are expected to give higher return to Investors to compensate for the risk taken. Besides, Investors may bear currency risk.",,Apa saja resiko dalam melakukan investasi?,"Seorang investor harus siap menanggung resiko apabila peminjam tidak dapat membayar kembali pinjaman mereka. Terdapat beberapa faktor yang dapat digunakan oleh investor untuk menilai risiko investasi dalam pinjaman seperti : riwayat pembayaran kembali peminjam sebelumnya, kondisi keuangan peminjam dan aset yang dijanjikan sebagai jaminan untuk suatu pinjaman. Umumnya, investasi yang berisiko diharapkan dapat memberikan tingkat pengembalian yang lebih tinggi kepada investor untuk mengimbangi risiko yang diambil. Selain itu, investor mungkin harus menanggung risiko mata uang asing."
Investor,How much can I invest?,"There is no limit to the investment amount, and an Investor Member can diversify their investment across a portfolio of loans. However, an Investor should only invest the amount that they are comfortable with.",,Seberapa banyak saya dapat melakukan investasi?,"Tidak ada batasan dalam nominal untuk melakukan investasi, dan anggota yang sudah terdaftar sebagai investor seharusnya hanya melakukan investasi dengan nominal yang nyaman menurut mereka."
Investor,Why do I need to Bid for a loan?,"Each loan has a fundraising period during which Investors can pledge online investments to the loan. A loan fundraising campaign is successful only if the total Loan Target Amount has been committed before the end of the funding period. Therefore, investments pledged during the fundraising period before the total Target Amount has been committed will be in Bid state. The investment bids will be confirmed once the total Target Amount is covered.",,Mengapa saya perlu melakukan penawaran untuk suatu pinjaman?,"Masing - masing pinjaman memiliki periode penggalangan dana selama investor mana yang dapat menjanjikan investasi secara online kepada pinjaman tersebut. Kampanye penggalangan dana untuk pinjaman akan sukses jika total nominal pinjaman yang ditargetkan telah terpenuhi sebelum akhir periode pendanaan. Oleh karena itu, jaminan investasi selama periode penggalangan dana sebelum total nominal pinjaman yang ditargetkan terpenuhi akan dicatat dalam bagian penawaran. Penawaran investasi akan dikonfirmasi setelah total nominal yang ditargetkan tertutupi."
Investor,Who does the vetting of Borrowers?,"Us. We have a number of measures in place to evaluate the Borrower's submission, including conducting upfront checks, holding entrepreneurs and businesses accountable for the information they have provided us, and, if necessary taking legal action against the entrepreneurs and businesses for non-compliance.",,Siapa yang melakukan proses pemeriksaan terhadap pihak peminjam?,"Kami. Kita memiliki beberapa langkah - langkah untuk melakukan evaluasi dalam pengajuan pinjaman oleh peminjam, termasuk melakukan pemeriksaan dimuka, memegang tanggung jawab wirausaha dan pengusaha terhadap informasi yang telah mereka berikan ke kita, dan, mengambil tindakan hukum terhadap wirausaha dan pengusaha atas ketidakpatuhan mereka jika diperlukan."
Investor,What do I get in exchange for my investment?,"As you are investing in a loan, you should expect to receive in return the amount you invested (principle) plus an interest amount (interest return). Principle + interest return are repaid according to a pre-agreed repayment schedule.",,Apa yang akan saya dapat atas investasi yang telah dilakukan?,"Dikarenakan Anda melakukan investasi terhadap suatu pinjaman, Anda akan memperoleh pengembalian atas nilai yang anda investasikan (Nilai dasar) ditambah dengan nilai bunga (tingkat pengembalian bunga). Nilai dasar + tingkat pengembalian bunga akan dibayarkan berdasarkan jadwal pembayaran kembali yang telah disepakati"
Investor,What is the interest returned on my investment?,"Each loan published on the P2P platform clearly states the interest rate to be returned to Investors. The exact repayment schedule is also displayed in the loan fact-sheet. If you bid an amount lower than the principle, the repayment you are entitled to will be prorated according to your investment amount and visible in your online portfolio (My Portfolio page)",,Apakah yang dimaksud dengan tingkat pengembalian bunga dalam investasi Saya?,"Masing - masing pinjaman di platform P2P dengan jelas menyatakan bahwa suku bunga akan dikembalikan ke investor. Jadwal pembayaran kembali yang tepat juga ditampilkan di dalam lembar fakta pinjaman. Jika anda melakukan penawaran dengan nominal dibawah nilai dasar, tingkat pengembalian yang berhak didapat akan dihitung pro rata berdasarkan nilai yang anda investasikan dan telihat dalam portofolio online anda (Halaman Portofolio Saya)"
Investor,"I was notified that the Fundraising campaign I invested in is unsuccessful, what happens now?",The amount you bid on that fundraising campaign will be refunded to your online account.,,"Saya mendapat notifikasi bahwa kampanye penggalangan dana yang Saya investasikan tidak berhasil, apa yang akan terjadi sekarang?",Nominal penawaran yang Anda masukkan ke dalam kampanye penggalangan dana tersebut akan dikembalikan ke akun online anda
Investor,Are my investments made public?,No.,,Apakah informasi investasi Saya di publikasikan?,Tidak
Investor,Does the Borrower receive my Investment right away?,"No. The investment amount you bid to a loan will be secured in your online account until the end of the fundraising period. Only in cases where the fundraising reaches its target amount prior to the expiry date of the fundraising period will the funds be transferred to the Borrower. If the Offer fails to reach its target, then the funds will be returned to the participating Investors. Also, each Investor will have several days cooling off period (in pre - determined agreement) which give you the right to cancel the investment.",,Apakah Peminjam langsung mendapatkan investasi dari Saya?,"Tidak. Jumlah investasi yang Anda tawarkan ke suatu pinjaman akan diamankan ke dalam rekening virtual Anda sampai dengan masa partisipasi berakhir. Hanya pada kondisi tertentu dimana dana pinjaman yang dibutuhkan telah terpenuhi sebelum masa partisipasi berakhir, dana akan di cairkan kepada peminjam. Apabila kebutuhan dana tidak terpenuhi dalam masa partisipasi, maka dana akan dikembalikan kepada investor. Selain itu, kami memberikan waktu tenang (masa pra perjanjian) untuk investor apabila ingin membatalkan investasinya."
Investor,Can the Borrower reject your funds?,No.,,Apakah Peminjam dapat menolak dana pinjaman ?,Tidak
Investor,Is my investment guaranteed?,"No. Despite some loans are personal/business gurateed, it does not mean your investment is definitively guaranteed. You should notice that your investment will have risks. However, you will be able to invest in loans with different risk profiles. For example, you will be able to find loans with collateral which are generally considered less risky than uncollateralized loans.",,Apakah Investasi Saya dijamin?,"Tidak. Meskipun suatu pinjaman mempunyai Jaminan Perorangan / Perusahaan tidak berarti investasi Anda dijamin. Anda diharapkan menyadari bahwa investasi Anda memiliki resiko. Namun demikian, Anda dapat berinvestasi pada pinjaman dengan profil resiko yang bervariasi. Contoh: Anda dapat menemukan pinjaman dengan jaminan yang secara umum dikategorikan beresiko rendah dibandingkan dengan pinjaman tanpa jaminan."
